Text,Number of Tokens,Rating,Gan's Rating,Yimin's Rating
"Q: When Nixon visited Moscow, he and Khrushchev had a race around the Kremlin. Nixon came the first. How should our media report on that? A: As follows: In the international running competition the General Secretary of the Communist Party took the honorable second place, while President Nixon came in next to last.",66,5,5,5
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,5,4,5
"Q: Is it true that conditions in our labor camps are excellent? A: In principle, yes. Five years ago one of our listeners was not convinced of this, so he was sent to investigate. He seems to have liked it so much that he hasn't returned yet.",56,5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,5,5,4
"Q: Is it true that due to the achievements of Soviet technology, we will soon be able to order food over the phone? A: Yes, our sources tell us it is true. The same sources told us the ordered food would be delivered via TV.",52,5,5,5
"Q: Is it true that every Soviet soldier dreams of becoming a general? A: No, our soldiers are not that stupid. They know that generals may become MIA even in time of peace.",40,5,4,5
"Q: What is the difference between Russian and English fairy tales? A: The English fairy tale starts with ""Once upon a time...."", and ours with ""It will be soon...""",37,5,4,5
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,5,5,4
"Q: Will the police still exist when communism is built? A: Of course, not. By that time, all citizens will have learned how to arrest themselves.",33,5,4,5
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,5,5,5
"Q: Was it possible to criticize Hitler? A: Sure. The same way as you criticized Stalin. You had to lock yourself in your bedroom, hide under two, or better three covers, place a pillow, or better two pillows on top of the blankets over your head, and then whisper whatever your soul wishes about the dictator, strictly adhering to a five-minute limit.",76,4,4,3
"Q: What is permitted and what is prohibited? A: In England, what is permitted, is permitted, and what is prohibited, is prohibited. In America everything is permitted except for what is prohibited. In Germany everything is prohibited except for what is permitted. In France everything is permitted, even what is prohibited. In the USSR everything is prohibited, even what is permitted.",75,4,5,2
"Q: Is it possible to sit down on a porcupine with a naked ass? A: It's possible on three occasions, to wit: 1. If you first shave the porcupine; 2. If it is not yours but somebody else's ass; and 3. If that's the will of the Party.",69,4,5,2
"Q: Why do policemen always walk the streets in teams of three? A: The partners in the police team are always chosen in such a way that one of them knows how to read, the other how to write, and the third one, naturally, has to keep watch over those two intellectuals.",60,4,5,2
