Text,Number of Tokens,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,5,5,4
"Q: Is it true that every Soviet soldier dreams of becoming a general? A: No, our soldiers are not that stupid. They know that generals may become MIA even in time of peace.",40,5,4,5
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,5,5,5
"Q: What is permitted and what is prohibited? A: In England, what is permitted, is permitted, and what is prohibited, is prohibited. In America everything is permitted except for what is prohibited. In Germany everything is prohibited except for what is permitted. In France everything is permitted, even what is prohibited. In the USSR everything is prohibited, even what is permitted.",75,4,5,2
"Q: Why do policemen always walk the streets in teams of three? A: The partners in the police team are always chosen in such a way that one of them knows how to read, the other how to write, and the third one, naturally, has to keep watch over those two intellectuals.",60,4,5,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,4,3,4
"Q: Could an atomic bomb destroy our beloved town, Yerevan, with its splendid buildings and beautiful gardens? A: In principle, yes. But Moscow is by far a more beautiful city.",40,4,5,3
Q: What to do if a man you don't know takes a seat at your table in a pub and starts to sigh? A: Immediately demand to stop the anti-Soviet propaganda.,39,4,4,4
"Q: Is it true that in the Soviet Union people do not need stereophonic equipment? A: In principle, yes. One hears exactly the same thing from all sides.",36,4,3,4
"Q: Will there be a third world war? A: No, but the struggle for peace will reach such a degree that there will be no stone left intact on the earth.",36,4,2,5
Q: What should we do if the Western borders of the USSR were opened? A: Rush to Siberia at once in order not to be crushed in the stampede.,35,4,5,3
"Q: Is there a problem of racism in the USSR? A: No. In our country, both the whites and the blacks are counted among the red.",32,4,3,4
Q: What do the leaders of the communist countries have in common with the unemployed in the West? A: They all are uncertain about their next day.,31,4,3,4
"Q: Is it possible to build socialism in one stand-alone country? A: It's possible, but better to live in another country.",28,4,4,4
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",26,4,5,2
Q: What is a Soviet musical duet? A: It's a musical quartet after a trip abroad.,23,4,5,2
Q: What is it that starts with an R and never ends? A: Reorganization.,19,4,3,5
Q: What is chaos? A: We do not comment on national economics.,16,4,3,4
