Text,Number of Tokens,Rating out of 3,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,5,5,4
"Q: Is it true that every Soviet soldier dreams of becoming a general? A: No, our soldiers are not that stupid. They know that generals may become MIA even in time of peace.",40,3,5,4,5
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,4,3,4
"Q: How will the people know that communism has finally arrived? A: Don't worry, the newspapers and radio will announce this in a timely fashion. As to TV, it's not yet known.",41,2,4,4,4
"Q: Could an atomic bomb destroy our beloved town, Yerevan, with its splendid buildings and beautiful gardens? A: In principle, yes. But Moscow is by far a more beautiful city.",40,2,4,5,3
Q: What to do if a man you don't know takes a seat at your table in a pub and starts to sigh? A: Immediately demand to stop the anti-Soviet propaganda.,39,2,4,4,4
Q: What will be the results of the next elections? A: Nobody can tell. Somebody stole yesterday the exact results of the next elections from the office of the Central Committee of the USSR.,39,2,3,3,3
"Q: When communism will be built, will there still be Jews and Armenians? A: Don't worry, the Jews and the Armenians will find a way to fink out.",38,2,3,2,4
"Q: Is it possible to open a brothel in Erevan? A: It's possible, only in the socialist society we don't say brothel. We call it collective.",38,2,3,3,2
"Q: Are there questions you can't answer? A: No. We approach our job in accordance with the Marx' dialectics. To any question, we can give any answer.",37,2,3,2,3
