Text,Rating,Gan's Rating,Yimin's Rating
"Q: Is there a difference between capitalism and communism? A: In principle, yes. In capitalism, man exploits man. In communism, it's the reverse.",,,3
"Q: Is it true that there is freedom of speech in the Soviet Union the same as there is the?USA? A: In principle, yes. In the USA, you can stand in front of the Washington Monument in Washington, DC, and yell, ""Down with?Reagan!"", and you will not be punished. In the Soviet Union, you can stand in the Red Square in Moscow and yell, ""Down with Reagan!"", and you will not be punished.",,,2
"Q: Is it true that the poet Vladimir Mayakovsky committed suicide? A: Yes, it is true, and even the record of his very last words is preserved: ""Don't shoot, comrades.""",,,2
Q: Why is there no flour in the market? A: Because they began adding it to the bread.,,,3
"Q: Is it true that in the Soviet Union people do not need stereophonic equipment? A: In principle, yes. One hears exactly the same thing from all sides.",,,4
"Q: Is it true that conditions in our labor camps are excellent? A: In principle, yes. Five years ago one of our listeners was not convinced of this, so he was sent to investigate. He seems to have liked it so much that he hasn't returned yet.",,,5
"Q: Under communism will we still have money? A: No, none of that either.",,,5
"Q: Could an atomic bomb destroy our beloved town,?Yerevan, with its splendid buildings and beautiful gardens? A: In principle, yes. But?Moscow?is by far a more beautiful city.",,,3
Q: What is chaos? A: We do not comment on national economics.,,,4
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,,,2
Q: What is a Soviet musical duet? A: It's a musical quartet after a trip abroad.,,,2
Q: We are told that the communism is already seen at the horizon. What then is a horizon? A: Horizon is an imaginary line which moves away each time you approach it.,,,1
Q: Why is our government not in a hurry to land our men on the moon? A: What if they refuse to return?,,,2
Q: Is it true that half of the members of the Central Committee are idiots? A: What a crazy question. Half of the members of the Central Committee are not idiots!,,,4
"Q: When Nixon visited Moscow, he and Khrushchev had a race around the Kremlin. Nixon came the first. How should our media report on that? A: As follows: In the international running competition the General Secretary of the Communist Party took the honorable second place, while President Nixon came in next to last.",,,5
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",,,4
"Q: What is permitted and what is prohibited? A: In England, what is permitted, is permitted, and what is prohibited, is prohibited. In America everything is permitted except for what is prohibited. In Germany everything is prohibited except for what is permitted. In France everything is permitted, even what is prohibited. In the USSR everything is prohibited, even what is permitted.",,,2
"Q: Why Solzhenitsyn, Brodsky, Bukovsky, and other dissidents have been exiled from the country? A: Don't you know that the best products are always selected for export?",,,3
"Q: Will people have money when communism is built? A: Some will, some will not.",,,3
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",,,2
"Q: When the final phase of socialism, namely communism, is built, will there still be thefts and pilfering? A: No, because everything will be already pilfered during socialism.",,,3
"Q: Was comrade Lenin a scientist or a politician? A: Of course, a politician. If he were a scientist, he would've first tried his theories on dogs.",,,1
Q: What is the most permanent feature of our socialist economy? A: Temporary shortages.,,,4
Q: What is the difference between the capitalist and the socialist trade? A: Capitalist trade means everything is to be sold. Socialist trade means everything is to be bought.,,,2
"Q: When communism will be built, will there still be Jews and Armenians? A: Don't worry, the Jews and the Armenians will find a way to fink out.",,,4
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,,,1
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",,,1
"Q: Will everybody learn swimming when communism is built? A: Please, please... Don't compare communism to the World Flood.",,,2
"Q: Is there in the USSR an open opposition? A: Even if it were, it would long have been none.",,,5
Q: What will be the results of the next elections? A: Nobody can tell. Somebody stole yesterday the exact results of the next elections from the office of the Central Committee of the USSR.,,,3
Q: What will be the sentence in the case of citizens Arutyunyan and Akopyan whose trial is expected to be completed next week? A: Nobody can tell. The text of the sentence was stolen yesterday from the District Party Committee.,,,3
"Q: Why the symbol of the Republicans in the US is an elephant, but that of the Democrats is an ass? A: Because no ass can symbolize two political parties at the same time.",,,3
"Q: What is the difference between the capitalist advertising and the communist propaganda? A: We don't know about the difference, but one can't get away from either of them.",,,4
"What is the difference between Russian and English fairy tales? A: The English fairy tale starts with ""Once upon a time...."", and ours with ""It will be soon...""",,,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",,,4
"Q: How will the people know that communism has finally arrived? A: Don't worry, the newspapers and radio will announce this in a timely fashion. As to TV, it's not yet known.",,,4
Q: Why did Stalin work only at nighttime? A: Are you indeed that naive? Even kids know who sets out to work only after dark.,,,3
"Q: Is it true that the Berlin Wall was built to separate the West from the East? A: No, it's not true. It was built to separate East from West.",,,2
Q: Is it true that the Suez Canal was built to connect the Mediterranean with the Red Sea? A: Not true. It was built to separate Israel from Egypt.,,,4
"Q: Is it true that every Soviet soldier dreams of becoming a general? A: No, our soldiers are not that stupid. They know that generals may become MIA even in time of peace.",,,5
Q: What should we do if the Western borders of the USSR were opened? A: Rush to Siberia at once in order not to be crushed in the stampede.,,,3
"Q: Will the police still exist when communism is built? A: Of course, not. By that time, all citizens will have learned how to arrest themselves.",,,5
Q: What to do if a man you don't know takes a seat at your table in a pub and starts to sigh? A: Immediately demand to stop the anti-Soviet propaganda.,,,4
"Q: Is there a problem of racism in the USSR? A: No. In our country, both the whites and the blacks are counted among the red.",,,4
Q: Why do we have all those shortages in meat supply? A: We are approaching communism at such a high pace that the cattle lags behind.,,,2
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",,,1
"Q: Is it possible to build socialism in Switzerland? A: It's possible, but why? Did Switzerland really do something wrong to you?",,,3
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,,,2
